,event-identifier,activity,resource,startTimestamp,completeTimestamp,Order,Item,Package,Route
1483,1484,place_order,Resource2,422,424,o110,,,
1608,1609,check_availability,Resource5,454,455,o110,o110-i0,,
1609,1610,check_availability,Resource6,454,455,o110,o110-i1,,
1620,1621,place_order,Resource2,457,459,o120,,,
1743,1744,pick_item,Resource5,486,489,o110,o110-i0,,
1744,1745,pick_item,Resource6,486,488,o110,o110-i1,,
1749,1750,place_order,Resource1,487,489,o130,,,
1759,1760,send_invoice,Resource1,489,494,o110,,,
1761,1762,check_availability,Resource5,489,489,o120,o120-i0,,
1762,1763,check_availability,Resource7,489,492,o120,o120-i1,,
1819,1820,place_order,Resource2,504,505,o141,,,
1820,1821,place_order,Resource3,504,506,o142,,,
1824,1825,receive_payment,Resource2,505,511,o110,,,
1825,1826,check_availability,Resource6,505,506,o141,o141-i0,,
1826,1827,check_availability,Resource7,505,507,o141,o141-i1,,
1827,1828,check_availability,Resource8,505,508,o142,o142-i0,,
1828,1829,pack_items,Resource9,505,510,o110,,o110-p1,
1831,1832,place_order,Resource3,506,509,o143,,,
1832,1833,check_availability,Resource6,506,510,o142,o142-i1,,
1835,1836,pick_item,Resource5,507,509,o141,o141-i0,,
1836,1837,pick_item,Resource7,507,509,o141,o141-i1,,
1840,1841,check_availability,Resource8,508,511,o143,o143-i0,,
1847,1848,check_availability,Resource5,509,511,o143,o143-i1,,
1848,1849,pick_item,Resource7,509,512,o142,o142-i0,,
1850,1851,pick_item,Resource6,510,513,o142,o142-i1,,
1851,1852,store_package,Resource9,510,514,o110,,o110-p1,
1854,1855,place_order,Resource2,511,515,o144,,,
1855,1856,pick_item,Resource5,511,513,o143,o143-i0,,
1856,1857,pick_item,Resource8,511,514,o143,o143-i1,,
1858,1859,place_order,Resource1,512,514,o145,,,
1859,1860,check_availability,Resource7,512,514,o144,o144-i0,,
1860,1861,check_availability,Resource5,513,516,o144,o144-i1,,
1861,1862,check_availability,Resource6,513,514,o145,o145-i0,,
1866,1867,place_order,Resource4,514,514,o146,,,
1867,1868,pick_item,Resource6,514,519,o145,o145-i1,,
1868,1869,pick_item,Resource7,514,513,o144,o144-i0,,
1869,1870,pick_item,Resource8,514,516,o145,o145-i0,,
1871,1872,start_route,Resource16,514,518,o110,,,o110-p1-r1
1876,1877,check_availability,Resource7,515,517,o146,o146-i0,,
1880,1881,check_availability,Resource5,516,519,o146,o146-i1,,
1881,1882,pick_item,Resource8,516,519,o144,o144-i1,,
1882,1883,pick_item,Resource7,517,519,o146,o146-i0,,
1883,1884,load_package,Resource14,518,525,o110,,,o110-p1-r1
1886,1887,check_availability,Resource5,519,523,o130,o130-i0,,
1887,1888,check_availability,Resource6,519,522,o130,o130-i1,,
1888,1889,pick_item,Resource7,519,519,o146,o146-i1,,
1894,1895,pick_item,Resource7,520,521,o120,o120-i0,,
1897,1898,place_order,Resource4,521,525,o147,,,
1899,1900,check_availability,Resource6,522,524,o147,o147-i0,,
1900,1901,check_availability,Resource7,522,524,o147,o147-i1,,
1902,1903,pick_item,Resource5,523,526,o120,o120-i1,,
1904,1905,place_order,Resource2,524,526,o140,,,
1905,1906,place_order,Resource3,524,525,o148,,,
1906,1907,pick_item,Resource6,524,524,o147,o147-i0,,
1907,1908,pick_item,Resource7,524,524,o147,o147-i1,,
1910,1911,send_invoice,Resource3,525,531,o141,,,
1911,1912,send_invoice,Resource4,525,529,o142,,,
1912,1913,check_availability,Resource6,525,527,o148,o148-i0,,
1913,1914,check_availability,Resource7,525,527,o148,o148-i1,,
1914,1915,pack_items,Resource9,525,529,o141,,o141-p1,
1915,1916,pack_items,Resource10,525,530,o142,,o142-p1,
1916,1917,pack_items,Resource11,525,531,o143,,o143-p1,
1917,1918,pack_items,Resource12,525,531,o144,,o144-p1,
1918,1919,deliver_package,Resource13,525,530,o110,,,o110-p1-r1
1921,1922,send_invoice,Resource2,526,532,o120,,,
1922,1923,send_invoice,Resource1,527,532,o143,,,
1923,1924,pick_item,Resource5,527,530,o148,o148-i0,,
1924,1925,pick_item,Resource6,527,530,o148,o148-i1,,
1928,1929,send_invoice,Resource4,529,536,o145,,,
1929,1930,pack_items,Resource9,529,534,o145,,o145-p1,
1931,1932,pack_items,Resource10,530,535,o146,,o146-p1,
1932,1933,failed_delivery,Resource13,530,537,o110,,,o110-p1-r1
1935,1936,send_invoice,Resource3,531,537,o146,,,
1936,1937,pack_items,Resource11,531,535,o147,,o147-p1,
1937,1938,store_package,Resource12,531,537,o141,,o141-p1,
1941,1942,send_invoice,Resource1,532,538,o144,,,
1942,1943,place_order,Resource2,532,535,o149,,,
1944,1945,check_availability,Resource5,533,536,o149,o149-i0,,
1945,1946,check_availability,Resource6,533,534,o149,o149-i1,,
1947,1948,pick_item,Resource6,534,537,o149,o149-i1,,
1948,1949,store_package,Resource9,534,540,o142,,o142-p1,
1950,1951,send_invoice,Resource2,535,540,o147,,,
1951,1952,pack_items,Resource10,535,541,o148,,o148-p1,
1952,1953,store_package,Resource11,535,540,o143,,o143-p1,
1953,1954,send_invoice,Resource4,536,542,o148,,,
1954,1955,pick_item,Resource5,536,539,o149,o149-i0,,
1957,1958,receive_payment,Resource3,537,542,o142,,,
1958,1959,store_package,Resource12,537,543,o144,,o144-p1,
1959,1960,unload_package,Resource13,537,544,o110,,,o110-p1-r1
1961,1962,start_route,Resource17,537,542,o141,,,o141-p1-r1
1962,1963,receive_payment,Resource1,538,544,o141,,,
1965,1966,place_order,Resource2,540,543,o151,,,
1966,1967,store_package,Resource9,540,544,o145,,o145-p1,
1967,1968,store_package,Resource11,540,545,o146,,o146-p1,
1968,1969,start_route,Resource14,540,545,o142,,,o142-p1-r1
1969,1970,start_route,Resource20,540,545,o143,,,o143-p1-r1
1970,1971,check_availability,Resource5,541,545,o151,o151-i0,,
1971,1972,check_availability,Resource6,541,543,o151,o151-i1,,
1972,1973,store_package,Resource10,541,546,o147,,o147-p1,
1974,1975,receive_payment,Resource3,542,546,o143,,,
1975,1976,place_order,Resource4,542,543,o152,,,
1977,1978,load_package,Resource17,542,547,o141,,,o141-p1-r1
1978,1979,send_invoice,Resource2,543,549,o149,,,
1979,1980,place_order,Resource4,543,544,o153,,,
1980,1981,pick_item,Resource6,543,545,o151,o151-i1,,
1981,1982,check_availability,Resource7,543,544,o152,o152-i0,,
1982,1983,check_availability,Resource8,543,543,o152,o152-i1,,
1983,1984,pack_items,Resource12,543,548,o149,,o149-p1,
1984,1985,start_route,Resource16,543,549,o144,,,o144-p1-r1
1985,1986,receive_payment,Resource1,544,551,o145,,,
1986,1987,place_order,Resource4,544,546,o154,,,
1987,1988,pick_item,Resource7,544,545,o152,o152-i1,,
1988,1989,pick_item,Resource8,544,546,o152,o152-i0,,
1989,1990,store_package,Resource9,544,550,o148,,o148-p1,
1990,1991,end_route,Resource13,544,549,o110,,,o110-p1-r1
1991,1992,check_availability,Resource5,545,548,o153,o153-i0,,
1992,1993,check_availability,Resource6,545,548,o153,o153-i1,,
1993,1994,pick_item,Resource7,545,547,o151,o151-i0,,
1994,1995,start_route,Resource14,545,551,o110,,,o110-p1-r1
1995,1996,start_route,Resource20,545,550,o145,,,o145-p1-r1
1996,1997,receive_payment,Resource3,546,551,o146,,,
1997,1998,receive_payment,Resource4,546,550,o144,,,
1998,1999,check_availability,Resource8,546,550,o154,o154-i0,,
1999,2000,load_package,Resource18,546,551,o142,,,o142-p1-r1
2001,2002,check_availability,Resource7,547,550,o154,o154-i1,,
