,event-identifier,activity,resource,startTimestamp,completeTimestamp,Order,Item,Package,Route
1629,1630,place_order,Resource1,527,531,o120,,,
1738,1739,check_availability,Resource6,559,562,o120,o120-i0,,
1739,1740,check_availability,Resource8,559,562,o120,o120-i1,,
1752,1753,place_order,Resource2,563,565,o130,,,
1856,1857,pick_item,Resource5,593,595,o120,o120-i0,,
1857,1858,pick_item,Resource8,593,596,o120,o120-i1,,
1863,1864,check_availability,Resource5,595,596,o130,o130-i0,,
1864,1865,check_availability,Resource7,595,598,o130,o130-i1,,
1868,1869,send_invoice,Resource1,596,600,o120,,,
1874,1875,place_order,Resource2,598,600,o140,,,
1995,1996,pick_item,Resource5,627,629,o130,o130-i0,,
1996,1997,pack_items,Resource9,627,631,o120,,o120-p1,
2002,2003,pick_item,Resource5,629,632,o130,o130-i1,,
2006,2007,check_availability,Resource6,630,631,o140,o140-i0,,
2009,2010,receive_payment,Resource1,631,636,o120,,,
2010,2011,check_availability,Resource6,631,632,o140,o140-i1,,
2013,2014,send_invoice,Resource2,632,637,o130,,,
2043,2044,place_order,Resource2,641,642,o150,,,
2110,2111,pick_item,Resource6,662,665,o140,o140-i0,,
2112,2113,store_package,Resource10,662,667,o120,,o120-p1,
2116,2117,pick_item,Resource5,663,666,o140,o140-i1,,
2118,2119,pack_items,Resource12,663,668,o130,,o130-p1,
2125,2126,send_invoice,Resource2,666,671,o140,,,
2135,2136,receive_payment,Resource1,668,673,o130,,,
2146,2147,check_availability,Resource6,673,675,o150,o150-i0,,
2147,2148,check_availability,Resource7,673,674,o150,o150-i1,,
2160,2161,place_order,Resource1,678,682,o160,,,
2190,2191,place_order,Resource4,688,691,o166,,,
2192,2193,check_availability,Resource5,689,690,o166,o166-i0,,
2193,2194,check_availability,Resource6,689,693,o166,o166-i1,,
2196,2197,pick_item,Resource5,690,692,o166,o166-i0,,
2207,2208,pick_item,Resource6,693,695,o166,o166-i1,,
2209,2210,send_invoice,Resource1,695,701,o166,,,
2211,2212,pack_items,Resource9,695,700,o166,,o166-p1,
2222,2223,pack_items,Resource10,697,699,o140,,o140-p1,
2228,2229,start_route,Resource19,698,704,o120,,,o120-p1-r1
2229,2230,store_package,Resource10,699,704,o130,,o130-p1,
2231,2232,store_package,Resource9,700,703,o166,,o166-p1,
2236,2237,receive_payment,Resource3,701,705,o166,,,
2241,2242,receive_payment,Resource2,702,709,o140,,,
2246,2247,start_route,Resource14,703,705,o166,,,o166-p1-r1
2249,2250,pick_item,Resource5,705,706,o150,o150-i1,,
2251,2252,load_package,Resource17,705,710,o166,,,o166-p1-r1
