CaseID,Activity,Resource,completeTimestamp
4507000227_00010,Create Purchase Order Item,user_033,319
4507000227_00010,Vendor creates invoice,NONE,648
4507000227_00010,Record Goods Receipt,user_035,660
4507000239_00030,Create Purchase Order Item,user_036,319
4507000239_00030,Vendor creates invoice,NONE,360
4507000239_00030,Record Goods Receipt,user_029,395
4507000239_00080,Create Purchase Order Item,user_036,319
4507000239_00080,Change Price,user_036,322
4507000239_00080,Vendor creates invoice,NONE,360
4507000239_00080,Record Goods Receipt,user_029,464
4507000252_00130,Create Purchase Order Item,user_042,1015
4507000252_00130,Change Quantity,user_042,1021
4507000252_00130,Record Goods Receipt,user_029,1049
4507000282_00030,Create Purchase Order Item,user_045,323
4507000282_00030,Vendor creates invoice,NONE,384
4507000282_00030,Record Goods Receipt,user_046,465
4507000322_00010,Create Purchase Order Item,user_072,323
4507000322_00010,Change Quantity,user_072,1214
4507000322_00010,Record Goods Receipt,batch_06,2036
4507000322_00020,Create Purchase Order Item,user_072,323
4507000322_00020,Change Quantity,user_072,1214
4507000322_00020,Record Goods Receipt,batch_06,1686
4507000322_00030,Create Purchase Order Item,user_072,323
4507000322_00030,Change Quantity,user_072,1214
4507000322_00030,Record Goods Receipt,batch_06,1905
4507000322_00040,Create Purchase Order Item,user_072,323
4507000322_00040,Change Quantity,user_072,1214
4507000322_00040,Record Goods Receipt,batch_06,1686
4507000322_00050,Create Purchase Order Item,user_072,323
4507000322_00050,Change Quantity,user_072,1214
4507000322_00050,Record Goods Receipt,batch_06,1905
4507000322_00060,Create Purchase Order Item,user_072,323
4507000322_00060,Change Quantity,user_072,1214
4507000322_00060,Record Goods Receipt,batch_06,2036
4507000322_00070,Create Purchase Order Item,user_072,323
4507000322_00070,Change Quantity,user_072,1214
4507000322_00070,Record Goods Receipt,batch_06,2036
4507000322_00080,Create Purchase Order Item,user_072,323
4507000322_00080,Change Quantity,user_072,1214
4507000322_00080,Vendor creates invoice,NONE,1704
4507000322_00080,Record Goods Receipt,batch_06,1883
4507000322_00090,Create Purchase Order Item,user_072,323
4507000322_00090,Change Quantity,user_072,1214
4507000322_00090,Record Goods Receipt,batch_06,2171
4507000322_00100,Create Purchase Order Item,user_072,323
4507000322_00100,Change Quantity,user_072,1214
4507000322_00100,Record Goods Receipt,batch_06,1686
4507000322_00110,Create Purchase Order Item,user_072,323
4507000322_00110,Change Quantity,user_072,1214
4507000322_00110,Record Goods Receipt,batch_06,1686
4507000322_00120,Create Purchase Order Item,user_072,323
4507000322_00120,Change Quantity,user_072,1214
4507000322_00120,Vendor creates invoice,NONE,1704
4507000322_00120,Record Goods Receipt,batch_06,1883
4507000322_00130,Create Purchase Order Item,user_072,323
4507000322_00130,Change Quantity,user_072,1214
4507000322_00130,Record Goods Receipt,batch_06,1686
