,event-identifier,activity,resource,startTimestamp,completeTimestamp,Order,Item,Package,Route
155,156,place_order,Resource1,63,66,o10,,,
259,260,check_availability,Resource8,95,98,o10,o10-i0,,
263,264,check_availability,Resource6,96,100,o10,o10-i1,,
282,283,place_order,Resource1,103,107,o20,,,
319,320,place_order,Resource4,115,118,o31,,,
322,323,check_availability,Resource5,116,118,o31,o31-i0,,
323,324,check_availability,Resource6,116,118,o31,o31-i1,,
328,329,pick_item,Resource5,118,119,o31,o31-i0,,
329,330,pick_item,Resource6,118,122,o31,o31-i1,,
358,359,place_order,Resource4,125,128,o35,,,
365,366,check_availability,Resource6,126,128,o35,o35-i0,,
366,367,check_availability,Resource8,126,128,o35,o35-i1,,
370,371,pick_item,Resource6,128,130,o35,o35-i0,,
371,372,pick_item,Resource7,128,132,o35,o35-i1,,
376,377,place_order,Resource3,129,132,o36,,,
377,378,pick_item,Resource8,129,132,o10,o10-i0,,
380,381,place_order,Resource2,130,131,o37,,,
381,382,check_availability,Resource5,130,132,o36,o36-i0,,
382,383,check_availability,Resource6,130,133,o36,o36-i1,,
386,387,pick_item,Resource5,132,135,o10,o10-i1,,
387,388,check_availability,Resource7,132,133,o37,o37-i0,,
388,389,check_availability,Resource8,132,135,o37,o37-i1,,
394,395,pick_item,Resource6,133,136,o36,o36-i0,,
395,396,pick_item,Resource7,133,134,o36,o36-i1,,
397,398,pick_item,Resource7,134,136,o37,o37-i0,,
398,399,send_invoice,Resource3,135,139,o10,,,
399,400,check_availability,Resource5,135,138,o20,o20-i0,,
400,401,check_availability,Resource8,135,136,o20,o20-i1,,
402,403,place_order,Resource1,136,138,o30,,,
403,404,pick_item,Resource6,136,138,o37,o37-i1,,
405,406,send_invoice,Resource2,137,142,o31,,,
407,408,pack_items,Resource9,137,144,o31,,o31-p1,
420,421,pack_items,Resource12,140,147,o35,,o35-p1,
422,423,send_invoice,Resource2,142,148,o35,,,
423,424,send_invoice,Resource4,142,146,o37,,,
424,425,pack_items,Resource10,142,146,o36,,o36-p1,
425,426,pack_items,Resource11,142,146,o37,,o37-p1,
431,432,receive_payment,Resource1,145,149,o10,,,
432,433,send_invoice,Resource3,145,150,o36,,,
433,434,place_order,Resource4,146,150,o38,,,
434,435,pack_items,Resource10,146,151,o10,,o10-p1,
437,438,check_availability,Resource5,147,150,o38,o38-i0,,
438,439,check_availability,Resource6,147,150,o38,o38-i1,,
440,441,receive_payment,Resource2,148,155,o31,,,
442,443,place_order,Resource3,150,153,o39,,,
444,445,pick_item,Resource5,150,154,o38,o38-i0,,
445,446,pick_item,Resource6,150,152,o38,o38-i1,,
446,447,store_package,Resource9,150,154,o31,,o31-p1,
447,448,store_package,Resource11,150,154,o36,,o36-p1,
451,452,check_availability,Resource7,151,154,o39,o39-i0,,
452,453,check_availability,Resource8,151,152,o39,o39-i1,,
453,454,store_package,Resource10,151,155,o10,,o10-p1,
454,455,pick_item,Resource6,152,155,o39,o39-i1,,
455,456,store_package,Resource12,152,156,o37,,o37-p1,
459,460,receive_payment,Resource4,154,159,o37,,,
460,461,pick_item,Resource5,154,157,o39,o39-i0,,
461,462,store_package,Resource9,154,160,o35,,o35-p1,
462,463,pack_items,Resource11,154,159,o38,,o38-p1,
463,464,start_route,Resource15,154,160,o31,,,o31-p1-r1
465,466,start_route,Resource18,154,159,o36,,,o36-p1-r1
466,467,place_order,Resource1,155,157,o41,,,
467,468,receive_payment,Resource2,155,158,o35,,,
468,469,start_route,Resource14,155,163,o10,,,o10-p1-r1
470,471,check_availability,Resource6,156,158,o41,o41-i0,,
471,472,check_availability,Resource7,156,159,o41,o41-i1,,
474,475,start_route,Resource20,156,163,o37,,,o37-p1-r1
475,476,receive_payment,Resource1,157,162,o36,,,
476,477,pack_items,Resource10,157,163,o39,,o39-p1,
477,478,send_invoice,Resource2,158,165,o38,,,
478,479,pick_item,Resource5,158,160,o41,o41-i0,,
479,480,place_order,Resource3,159,162,o42,,,
480,481,place_order,Resource4,159,162,o43,,,
481,482,pick_item,Resource6,159,162,o41,o41-i1,,
482,483,store_package,Resource11,159,164,o38,,o38-p1,
483,484,load_package,Resource13,159,164,o36,,,o36-p1-r1
484,485,check_availability,Resource5,160,163,o42,o42-i0,,
485,486,check_availability,Resource7,160,162,o42,o42-i1,,
486,487,check_availability,Resource8,160,163,o43,o43-i0,,
487,488,load_package,Resource15,160,165,o31,,,o31-p1-r1
490,491,start_route,Resource18,160,165,o35,,,o35-p1-r1
493,494,place_order,Resource3,162,165,o44,,,
494,495,place_order,Resource4,162,164,o45,,,
495,496,check_availability,Resource6,162,164,o43,o43-i1,,
496,497,pick_item,Resource7,162,162,o42,o42-i1,,
497,498,pick_item,Resource5,163,166,o42,o42-i0,,
498,499,pick_item,Resource7,163,166,o43,o43-i0,,
499,500,check_availability,Resource8,163,164,o44,o44-i0,,
503,504,check_availability,Resource6,164,167,o44,o44-i1,,
504,505,check_availability,Resource8,164,167,o45,o45-i0,,
512,513,pick_item,Resource7,166,167,o43,o43-i1,,
