,event-identifier,activity,resource,startTimestamp,completeTimestamp,Order,Item,Package,Route
2309,2310,place_order,Resource1,728,730,o170,,,
2394,2395,check_availability,Resource5,760,763,o170,o170-i0,,
2395,2396,check_availability,Resource6,760,763,o170,o170-i1,,
2470,2471,pick_item,Resource7,794,795,o170,o170-i0,,
2471,2472,pick_item,Resource8,794,796,o170,o170-i1,,
2472,2473,place_order,Resource1,795,798,o180,,,
2473,2474,send_invoice,Resource2,796,800,o170,,,
2572,2573,check_availability,Resource5,827,832,o180,o180-i0,,
2573,2574,check_availability,Resource7,827,829,o180,o180-i1,,
2575,2576,pack_items,Resource9,827,832,o170,,o170-p1,
2583,2584,place_order,Resource1,830,831,o190,,,
2586,2587,receive_payment,Resource1,831,837,o170,,,
2680,2681,pick_item,Resource5,860,861,o180,o180-i1,,
2685,2686,check_availability,Resource5,862,864,o190,o190-i0,,
2686,2687,check_availability,Resource6,862,864,o190,o190-i1,,
2690,2691,pick_item,Resource7,863,864,o180,o180-i0,,
2691,2692,store_package,Resource9,863,868,o170,,o170-p1,
2694,2695,send_invoice,Resource1,864,869,o180,,,
2698,2699,place_order,Resource2,865,868,o200,,,
2792,2793,pick_item,Resource5,895,897,o190,o190-i0,,
2793,2794,pick_item,Resource6,895,897,o190,o190-i1,,
2796,2797,pack_items,Resource10,896,900,o180,,o180-p1,
2797,2798,send_invoice,Resource1,897,901,o190,,,
2798,2799,check_availability,Resource5,897,901,o200,o200-i0,,
2799,2800,check_availability,Resource6,897,900,o200,o200-i1,,
2803,2804,place_order,Resource4,899,899,o211,,,
2805,2806,start_route,Resource16,899,902,o170,,,o170-p1-r1
2806,2807,receive_payment,Resource2,900,906,o180,,,
2808,2809,check_availability,Resource6,900,905,o211,o211-i0,,
2809,2810,check_availability,Resource7,900,903,o211,o211-i1,,
2820,2821,pick_item,Resource7,903,905,o211,o211-i1,,
2824,2825,pick_item,Resource6,905,907,o211,o211-i0,,
2869,2870,place_order,Resource1,923,924,o210,,,
2871,2872,send_invoice,Resource1,924,929,o211,,,
2875,2876,pack_items,Resource9,924,930,o211,,o211-p1,
2881,2882,pack_items,Resource10,928,934,o190,,o190-p1,
2886,2887,receive_payment,Resource2,930,934,o211,,,
2890,2891,place_order,Resource4,931,933,o217,,,
2891,2892,pick_item,Resource7,931,932,o200,o200-i1,,
2893,2894,pick_item,Resource5,932,935,o200,o200-i0,,
2896,2897,check_availability,Resource8,932,933,o217,o217-i0,,
2898,2899,receive_payment,Resource4,933,938,o190,,,
2899,2900,check_availability,Resource8,933,935,o217,o217-i1,,
2900,2901,load_package,Resource15,933,938,o170,,,o170-p1-r1
2902,2903,pick_item,Resource6,934,935,o217,o217-i0,,
2903,2904,store_package,Resource9,934,940,o180,,o180-p1,
2905,2906,store_package,Resource11,934,938,o211,,o211-p1,
2907,2908,send_invoice,Resource1,935,942,o200,,,
2909,2910,pick_item,Resource5,935,937,o217,o217-i1,,
2915,2916,start_route,Resource14,938,943,o211,,,o211-p1-r1
2917,2918,place_order,Resource2,939,942,o218,,,
2918,2919,pack_items,Resource10,939,944,o217,,o217-p1,
2921,2922,send_invoice,Resource3,940,945,o217,,,
2922,2923,check_availability,Resource5,940,942,o218,o218-i0,,
2923,2924,check_availability,Resource6,940,940,o218,o218-i1,,
2924,2925,pick_item,Resource6,941,943,o218,o218-i1,,
2927,2928,place_order,Resource1,942,943,o219,,,
2930,2931,pick_item,Resource5,942,943,o218,o218-i0,,
2932,2933,send_invoice,Resource1,943,949,o218,,,
2933,2934,check_availability,Resource5,943,946,o219,o219-i0,,
2934,2935,check_availability,Resource6,943,945,o219,o219-i1,,
2935,2936,pack_items,Resource11,943,947,o218,,o218-p1,
2936,2937,load_package,Resource14,943,949,o211,,,o211-p1-r1
2938,2939,store_package,Resource10,944,948,o217,,o217-p1,
2940,2941,receive_payment,Resource3,945,951,o217,,,
2941,2942,pick_item,Resource6,945,948,o219,o219-i1,,
2943,2944,pick_item,Resource5,946,948,o219,o219-i0,,
2945,2946,place_order,Resource2,947,949,o221,,,
2946,2947,store_package,Resource9,947,953,o218,,o218-p1,
2949,2950,send_invoice,Resource4,948,953,o219,,,
2950,2951,check_availability,Resource5,948,949,o221,o221-i0,,
2951,2952,check_availability,Resource6,948,950,o221,o221-i1,,
2952,2953,pack_items,Resource10,948,952,o219,,o219-p1,
2954,2955,start_route,Resource20,948,953,o217,,,o217-p1-r1
2955,2956,receive_payment,Resource1,949,954,o218,,,
2956,2957,pick_item,Resource5,949,950,o221,o221-i0,,
