eid,Caseid,Activity,Resource,CompleteTimestamp
1,4507000227_00010,Create Purchase Order Item,user_033,319
2,4507000227_00010,Vendor creates invoice,NONE,648
3,4507000227_00010,Record Goods Receipt,user_035,660
4,4507000239_00030,Create Purchase Order Item,user_036,319
5,4507000239_00030,Vendor creates invoice,NONE,360
6,4507000239_00030,Record Goods Receipt,user_029,395
7,4507000239_00080,Create Purchase Order Item,user_036,319
8,4507000239_00080,Change Price,user_036,322
9,4507000239_00080,Vendor creates invoice,NONE,360
10,4507000239_00080,Record Goods Receipt,user_029,464
11,4507000252_00130,Create Purchase Order Item,user_042,1015
12,4507000252_00130,Change Quantity,user_042,1021
13,4507000252_00130,Record Goods Receipt,user_029,1049
14,4507000282_00030,Create Purchase Order Item,user_045,323
15,4507000282_00030,Vendor creates invoice,NONE,384
16,4507000282_00030,Record Goods Receipt,user_046,465
17,4507000322_00010,Create Purchase Order Item,user_072,323
18,4507000322_00010,Change Quantity,user_072,1214
19,4507000322_00010,Record Goods Receipt,batch_06,1796
20,4507000322_00020,Create Purchase Order Item,user_072,323
21,4507000322_00020,Change Quantity,user_072,1214
22,4507000322_00020,Record Goods Receipt,batch_06,1470
23,4507000322_00030,Create Purchase Order Item,user_072,323
24,4507000322_00030,Change Quantity,user_072,1214
25,4507000322_00030,Record Goods Receipt,batch_06,1689
26,4507000322_00040,Create Purchase Order Item,user_072,323
27,4507000322_00040,Change Quantity,user_072,1214
28,4507000322_00040,Record Goods Receipt,batch_06,1470
29,4507000322_00050,Create Purchase Order Item,user_072,323
30,4507000322_00050,Change Quantity,user_072,1214
31,4507000322_00050,Record Goods Receipt,batch_06,1689
32,4507000322_00060,Create Purchase Order Item,user_072,323
33,4507000322_00060,Change Quantity,user_072,1214
34,4507000322_00060,Record Goods Receipt,batch_06,1796
35,4507000322_00070,Create Purchase Order Item,user_072,323
36,4507000322_00070,Change Quantity,user_072,1214
37,4507000322_00070,Record Goods Receipt,batch_06,1796
38,4507000322_00080,Create Purchase Order Item,user_072,323
39,4507000322_00080,Change Quantity,user_072,1214
40,4507000322_00080,Vendor creates invoice,NONE,1488
41,4507000322_00080,Record Goods Receipt,batch_06,1667
42,4507000322_00090,Create Purchase Order Item,user_072,323
43,4507000322_00090,Change Quantity,user_072,1214
44,4507000322_00090,Record Goods Receipt,batch_06,1931
45,4507000322_00100,Create Purchase Order Item,user_072,323
46,4507000322_00100,Change Quantity,user_072,1214
47,4507000322_00100,Record Goods Receipt,batch_06,1470
48,4507000322_00110,Create Purchase Order Item,user_072,323
49,4507000322_00110,Change Quantity,user_072,1214
50,4507000322_00110,Record Goods Receipt,batch_06,1470
51,4507000322_00120,Create Purchase Order Item,user_072,323
52,4507000322_00120,Change Quantity,user_072,1214
53,4507000322_00120,Vendor creates invoice,NONE,1488
54,4507000322_00120,Record Goods Receipt,batch_06,1667
55,4507000322_00130,Create Purchase Order Item,user_072,323
56,4507000322_00130,Change Quantity,user_072,1214
57,4507000322_00130,Record Goods Receipt,batch_06,1470
58,4507000322_00140,Create Purchase Order Item,user_072,323
59,4507000322_00140,Change Quantity,user_072,1214
60,4507000322_00140,Record Goods Receipt,batch_06,1470
61,4507000322_00150,Create Purchase Order Item,user_072,323
