,order_names,times,colors
0,o1,12,#a6cee3
1,o2,12,#a6cee3
2,o5,18,#a6cee3
3,o3,18,#a6cee3
4,o6,18,#a6cee3
5,o4,18,#a6cee3
6,o1,18,#a6cee3
7,o2,18,#a6cee3
8,o5,24,#a6cee3
9,o3,24,#a6cee3
10,o8,24,#a6cee3
11,o6,24,#a6cee3
12,o4,24,#a6cee3
13,o1,24,#a6cee3
14,o2,24,#a6cee3
15,o7,24,#a6cee3
16,o5,30,#a6cee3
17,o3,30,#a6cee3
18,o8,30,#a6cee3
19,o6,30,#a6cee3
20,o4,30,#a6cee3
21,o1,30,#a6cee3
22,o2,30,#a6cee3
23,o7,30,#a6cee3
24,o5,36,#a6cee3
25,o3,36,#a6cee3
26,o8,36,#a6cee3
27,o6,36,#a6cee3
28,o4,36,#a6cee3
29,o1,36,#a6cee3
30,o2,36,#a6cee3
31,o7,36,#a6cee3
32,o9,36,#a6cee3
33,o5,42,#a6cee3
34,o3,42,#a6cee3
35,o11,42,#a6cee3
36,o8,42,#a6cee3
37,o6,42,#a6cee3
38,o7,42,#a6cee3
39,o9,42,#a6cee3
40,o12,48,#a6cee3
41,o15,48,#a6cee3
42,o11,48,#a6cee3
43,o8,48,#a6cee3
44,o6,48,#a6cee3
45,o7,48,#a6cee3
46,o9,48,#a6cee3
47,o14,48,#a6cee3
48,o13,48,#a6cee3
49,o12,54,#a6cee3
50,o15,54,#a6cee3
51,o11,54,#a6cee3
52,o8,54,#a6cee3
53,o9,54,#a6cee3
54,o16,54,#a6cee3
55,o14,54,#a6cee3
56,o13,54,#a6cee3
57,o12,60,#a6cee3
58,o15,60,#a6cee3
59,o11,60,#a6cee3
60,o9,60,#a6cee3
61,o16,60,#a6cee3
62,o14,60,#a6cee3
63,o17,60,#a6cee3
64,o13,60,#a6cee3
65,o12,66,#a6cee3
66,o15,66,#a6cee3
67,o11,66,#a6cee3
68,o9,66,#a6cee3
69,o16,66,#a6cee3
70,o14,66,#a6cee3
71,o17,66,#a6cee3
72,o13,66,#a6cee3
73,o10,72,#a6cee3
74,o12,72,#a6cee3
75,o15,72,#a6cee3
76,o11,72,#a6cee3
77,o16,72,#a6cee3
78,o14,72,#a6cee3
79,o17,72,#a6cee3
80,o13,72,#a6cee3
81,o10,78,#a6cee3
82,o12,78,#a6cee3
83,o15,78,#a6cee3
84,o11,78,#a6cee3
85,o19,78,#a6cee3
86,o16,78,#a6cee3
87,o14,78,#a6cee3
88,o17,78,#a6cee3
89,o18,78,#a6cee3
90,o13,78,#a6cee3
91,o10,84,#a6cee3
92,o12,84,#a6cee3
93,o15,84,#a6cee3
94,o11,84,#a6cee3
95,o21,84,#a6cee3
96,o19,84,#a6cee3
97,o16,84,#a6cee3
98,o14,84,#a6cee3
99,o17,84,#a6cee3
100,o18,84,#a6cee3
101,o13,84,#a6cee3
102,o23,90,#a6cee3
103,o10,90,#a6cee3
104,o12,90,#a6cee3
105,o11,90,#a6cee3
106,o21,90,#a6cee3
107,o22,90,#a6cee3
108,o19,90,#a6cee3
109,o16,90,#a6cee3
110,o14,90,#a6cee3
111,o17,90,#a6cee3
112,o18,90,#a6cee3
113,o13,90,#a6cee3
114,o23,96,#a6cee3
115,o10,96,#a6cee3
116,o27,96,#a6cee3
117,o26,96,#a6cee3
