,event-identifier,activity,resource,startTimestamp,completeTimestamp,Order,Item,Package,Route
155,156,place_order,Resource1,63,66,o10,,,
259,260,check_availability,Resource8,95,98,o10,o10-i0,,
263,264,check_availability,Resource6,96,100,o10,o10-i1,,
282,283,place_order,Resource1,103,107,o20,,,
377,378,pick_item,Resource8,129,132,o10,o10-i0,,
380,381,place_order,Resource2,130,131,o37,,,
386,387,pick_item,Resource5,132,135,o10,o10-i1,,
387,388,check_availability,Resource7,132,133,o37,o37-i0,,
388,389,check_availability,Resource8,132,135,o37,o37-i1,,
397,398,pick_item,Resource7,134,136,o37,o37-i0,,
398,399,send_invoice,Resource3,135,139,o10,,,
399,400,check_availability,Resource5,135,138,o20,o20-i0,,
400,401,check_availability,Resource8,135,136,o20,o20-i1,,
402,403,place_order,Resource1,136,138,o30,,,
403,404,pick_item,Resource6,136,138,o37,o37-i1,,
423,424,send_invoice,Resource4,142,146,o37,,,
425,426,pack_items,Resource11,142,146,o37,,o37-p1,
431,432,receive_payment,Resource1,145,149,o10,,,
434,435,pack_items,Resource10,146,151,o10,,o10-p1,
453,454,store_package,Resource10,151,155,o10,,o10-p1,
455,456,store_package,Resource12,152,156,o37,,o37-p1,
459,460,receive_payment,Resource4,154,159,o37,,,
466,467,place_order,Resource1,155,157,o41,,,
468,469,start_route,Resource14,155,163,o10,,,o10-p1-r1
470,471,check_availability,Resource6,156,158,o41,o41-i0,,
471,472,check_availability,Resource7,156,159,o41,o41-i1,,
474,475,start_route,Resource20,156,163,o37,,,o37-p1-r1
478,479,pick_item,Resource5,158,160,o41,o41-i0,,
479,480,place_order,Resource3,159,162,o42,,,
480,481,place_order,Resource4,159,162,o43,,,
481,482,pick_item,Resource6,159,162,o41,o41-i1,,
484,485,check_availability,Resource5,160,163,o42,o42-i0,,
485,486,check_availability,Resource7,160,162,o42,o42-i1,,
486,487,check_availability,Resource8,160,163,o43,o43-i0,,
493,494,place_order,Resource3,162,165,o44,,,
494,495,place_order,Resource4,162,164,o45,,,
495,496,check_availability,Resource6,162,164,o43,o43-i1,,
496,497,pick_item,Resource7,162,162,o42,o42-i1,,
497,498,pick_item,Resource5,163,166,o42,o42-i0,,
498,499,pick_item,Resource7,163,166,o43,o43-i0,,
499,500,check_availability,Resource8,163,164,o44,o44-i0,,
501,502,load_package,Resource14,163,168,o10,,,o10-p1-r1
502,503,load_package,Resource20,163,168,o37,,,o37-p1-r1
503,504,check_availability,Resource6,164,167,o44,o44-i1,,
504,505,check_availability,Resource8,164,167,o45,o45-i0,,
511,512,check_availability,Resource5,166,169,o45,o45-i1,,
512,513,pick_item,Resource7,166,167,o43,o43-i1,,
514,515,pick_item,Resource6,167,171,o20,o20-i1,,
515,516,pick_item,Resource7,167,169,o44,o44-i0,,
516,517,pick_item,Resource8,167,169,o44,o44-i1,,
518,519,deliver_package,Resource13,168,172,o10,,,o10-p1-r1
519,520,deliver_package,Resource14,168,173,o37,,,o37-p1-r1
520,521,check_availability,Resource5,169,173,o30,o30-i0,,
521,522,check_availability,Resource7,169,171,o30,o30-i1,,
522,523,pick_item,Resource8,169,171,o20,o20-i0,,
525,526,place_order,Resource3,170,172,o46,,,
527,528,send_invoice,Resource2,171,176,o20,,,
528,529,place_order,Resource4,171,172,o47,,,
529,530,pick_item,Resource6,171,175,o45,o45-i0,,
530,531,pick_item,Resource7,171,172,o45,o45-i1,,
531,532,check_availability,Resource8,171,174,o46,o46-i0,,
534,535,check_availability,Resource7,172,175,o46,o46-i1,,
535,536,failed_delivery,Resource13,172,178,o10,,,o10-p1-r1
536,537,check_availability,Resource5,173,176,o47,o47-i0,,
537,538,failed_delivery,Resource14,173,177,o37,,,o37-p1-r1
538,539,check_availability,Resource8,174,177,o47,o47-i1,,
541,542,pick_item,Resource6,175,178,o46,o46-i0,,
542,543,pick_item,Resource7,175,178,o46,o46-i1,,
544,545,pick_item,Resource5,176,179,o47,o47-i0,,
545,546,place_order,Resource1,177,181,o40,,,
546,547,place_order,Resource2,177,178,o48,,,
547,548,pick_item,Resource8,177,178,o47,o47-i1,,
548,549,unload_package,Resource14,177,183,o37,,,o37-p1-r1
549,550,send_invoice,Resource2,178,183,o41,,,
550,551,send_invoice,Resource3,178,183,o42,,,
551,552,send_invoice,Resource4,178,184,o43,,,
552,553,check_availability,Resource6,178,179,o48,o48-i0,,
553,554,check_availability,Resource7,178,179,o48,o48-i1,,
554,555,pack_items,Resource9,178,185,o41,,o41-p1,
555,556,pack_items,Resource10,178,183,o42,,o42-p1,
556,557,pack_items,Resource11,178,182,o43,,o43-p1,
557,558,pack_items,Resource12,178,182,o44,,o44-p1,
558,559,unload_package,Resource13,178,183,o10,,,o10-p1-r1
559,560,pick_item,Resource5,179,181,o48,o48-i0,,
560,561,pick_item,Resource6,179,181,o48,o48-i1,,
563,564,send_invoice,Resource1,181,186,o45,,,
564,565,pack_items,Resource11,182,189,o45,,o45-p1,
565,566,pack_items,Resource12,182,188,o46,,o46-p1,
566,567,send_invoice,Resource2,183,189,o44,,,
567,568,send_invoice,Resource3,183,189,o46,,,
568,569,pack_items,Resource10,183,188,o47,,o47-p1,
569,570,end_route,Resource13,183,186,o10,,,o10-p1-r1
570,571,end_route,Resource14,183,188,o37,,,o37-p1-r1
571,572,send_invoice,Resource4,184,190,o47,,,
572,573,start_route,Resource17,184,190,o10,,,o10-p1-r1
573,574,start_route,Resource18,184,188,o37,,,o37-p1-r1
574,575,pack_items,Resource9,185,191,o48,,o48-p1,
581,582,place_order,Resource3,189,191,o51,,,
587,588,check_availability,Resource8,190,190,o51,o51-i1,,
