,event-identifier,activity,resource,startTimestamp,completeTimestamp,Order,Item,Package,Route
163,164,place_order,Resource2,70,71,o10,,,
253,254,place_order,Resource1,98,98,o20,,,
270,271,check_availability,Resource5,102,105,o10,o10-i0,,
271,272,check_availability,Resource6,102,104,o10,o10-i1,,
359,360,check_availability,Resource5,130,132,o20,o20-i0,,
360,361,check_availability,Resource6,130,132,o20,o20-i1,,
378,379,pick_item,Resource5,135,137,o10,o10-i1,,
385,386,pick_item,Resource6,136,137,o10,o10-i0,,
388,389,send_invoice,Resource3,137,144,o10,,,
404,405,place_order,Resource1,146,149,o30,,,
447,448,pick_item,Resource5,163,166,o20,o20-i0,,
448,449,pick_item,Resource6,163,167,o20,o20-i1,,
461,462,send_invoice,Resource3,167,172,o20,,,
463,464,pack_items,Resource11,168,174,o10,,o10-p1,
478,479,receive_payment,Resource3,175,180,o10,,,
488,489,check_availability,Resource5,178,180,o30,o30-i0,,
489,490,check_availability,Resource6,178,179,o30,o30-i1,,
497,498,place_order,Resource2,184,185,o42,,,
500,501,place_order,Resource2,185,186,o43,,,
503,504,check_availability,Resource7,185,188,o42,o42-i0,,
504,505,check_availability,Resource8,185,186,o42,o42-i1,,
506,507,pick_item,Resource5,186,187,o42,o42-i1,,
507,508,check_availability,Resource8,186,188,o43,o43-i0,,
509,510,check_availability,Resource5,187,189,o43,o43-i1,,
511,512,pick_item,Resource6,188,190,o42,o42-i0,,
512,513,pick_item,Resource7,188,191,o43,o43-i0,,
515,516,pick_item,Resource5,189,191,o43,o43-i1,,
516,517,place_order,Resource1,190,193,o44,,,
517,518,check_availability,Resource5,191,193,o44,o44-i0,,
518,519,check_availability,Resource6,191,194,o44,o44-i1,,
520,521,place_order,Resource2,192,195,o45,,,
522,523,place_order,Resource1,193,194,o46,,,
523,524,pick_item,Resource5,193,196,o44,o44-i0,,
524,525,check_availability,Resource7,193,196,o45,o45-i0,,
525,526,check_availability,Resource8,193,195,o45,o45-i1,,
