constraintNamt,processEntity,time,output
c1: An order must be delivered in 72,o8,24,ok
c1: An order must be delivered in 72,o13,48,ok
c1: An order must be delivered in 72,o12,48,ok
c1: An order must be delivered in 72,o15,48,ok
c1: An order must be delivered in 72,o14,48,ok
c1: An order must be delivered in 72,o16,48,ok
c1: An order must be delivered in 72,o6,48,ok
c1: An order must be delivered in 72,o7,48,ok
c1: An order must be delivered in 72,o8,48,ok
c1: An order must be delivered in 72,o9,48,ok
c1: An order must be delivered in 72,o11,48,ok
c1: An order must be delivered in 72,o10,48,ok
c1: An order must be delivered in 72,o13,72,ok
c1: An order must be delivered in 72,o12,72,ok
c1: An order must be delivered in 72,o15,72,ok
c1: An order must be delivered in 72,o14,72,ok
c1: An order must be delivered in 72,o17,72,ok
c1: An order must be delivered in 72,o16,72,ok
c1: An order must be delivered in 72,o19,72,ok
c1: An order must be delivered in 72,o18,72,ok
c1: An order must be delivered in 72,o20,72,ok
c1: An order must be delivered in 72,o11,72,ok
c1: An order must be delivered in 72,o10,72,ok
c1: An order must be delivered in 72,o20,96,ok
c1: An order must be delivered in 72,o22,96,ok
c1: An order must be delivered in 72,o10,96,ok
c1: An order must be delivered in 72,o21,96,ok
c1: An order must be delivered in 72,o24,96,ok
c1: An order must be delivered in 72,o23,96,ok
c1: An order must be delivered in 72,o26,96,ok
c1: An order must be delivered in 72,o25,96,ok
c1: An order must be delivered in 72,o17,96,ok
c1: An order must be delivered in 72,o28,96,ok
c1: An order must be delivered in 72,o16,96,ok
c1: An order must be delivered in 72,o27,96,ok
c1: An order must be delivered in 72,o19,96,ok
c1: An order must be delivered in 72,o18,96,ok
c1: An order must be delivered in 72,o29,96,ok
c1: An order must be delivered in 72,o20,120,ok
c1: An order must be delivered in 72,o31,120,ok
c1: An order must be delivered in 72,o30,120,ok
c1: An order must be delivered in 72,o22,120,ok
c1: An order must be delivered in 72,o33,120,ok
c1: An order must be delivered in 72,o10,120,ok
c1: An order must be delivered in 72,o21,120,ok
c1: An order must be delivered in 72,o32,120,ok
c1: An order must be delivered in 72,o24,120,ok
c1: An order must be delivered in 72,o35,120,ok
c1: An order must be delivered in 72,o23,120,ok
c1: An order must be delivered in 72,o34,120,ok
c1: An order must be delivered in 72,o26,120,ok
c1: An order must be delivered in 72,o37,120,ok
c1: An order must be delivered in 72,o25,120,ok
c1: An order must be delivered in 72,o36,120,ok
c1: An order must be delivered in 72,o28,120,ok
c1: An order must be delivered in 72,o27,120,ok
c1: An order must be delivered in 72,o19,120,ok
c1: An order must be delivered in 72,o18,120,ok
c1: An order must be delivered in 72,o29,120,ok
c1: An order must be delivered in 72,o20,144,ok
c1: An order must be delivered in 72,o31,144,ok
c1: An order must be delivered in 72,o30,144,ok
c1: An order must be delivered in 72,o33,144,ok
c1: An order must be delivered in 72,o10,144,nok
c1: An order must be delivered in 72,o32,144,ok
c1: An order must be delivered in 72,o35,144,ok
c1: An order must be delivered in 72,o34,144,ok
c1: An order must be delivered in 72,o37,144,ok
c1: An order must be delivered in 72,o36,144,ok
c1: An order must be delivered in 72,o28,144,ok
c1: An order must be delivered in 72,o39,144,ok
